date,product_id,name,initial_rate,aprc,fee,ltv
2026-07-28,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.81,6.3,0,70%
2026-07-28,2yr-standard-70,2 Year Fixed Standard,4.57,6.3,490,70%
2026-07-28,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-07-28,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-07-28,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.74,5.8,0,70%
2026-07-28,5yr-standard-70,5 Year Fixed Standard,4.62,5.7,490,70%
2026-07-29,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.81,6.3,0,70%
2026-07-29,2yr-standard-70,2 Year Fixed Standard,4.57,6.3,490,70%
2026-07-29,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-07-29,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-07-29,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.74,5.8,0,70%
2026-07-29,5yr-standard-70,5 Year Fixed Standard,4.62,5.7,490,70%
2026-07-30,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.81,6.3,0,70%
2026-07-30,2yr-standard-70,2 Year Fixed Standard,4.57,6.3,490,70%
2026-07-30,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-07-30,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-07-30,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.74,5.8,0,70%
2026-07-30,5yr-standard-70,5 Year Fixed Standard,4.62,5.7,490,70%
2026-07-31,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.81,6.3,0,70%
2026-07-31,2yr-standard-70,2 Year Fixed Standard,4.57,6.3,490,70%
2026-07-31,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-07-31,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-07-31,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.74,5.8,0,70%
2026-07-31,5yr-standard-70,5 Year Fixed Standard,4.62,5.7,490,70%
2026-08-01,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.81,6.3,0,70%
2026-08-01,2yr-standard-70,2 Year Fixed Standard,4.57,6.3,490,70%
2026-08-01,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-01,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-01,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.74,5.8,0,70%
2026-08-01,5yr-standard-70,5 Year Fixed Standard,4.62,5.7,490,70%
2026-08-02,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.81,6.3,0,70%
2026-08-02,2yr-standard-70,2 Year Fixed Standard,4.57,6.3,490,70%
2026-08-02,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-02,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-02,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.74,5.8,0,70%
2026-08-02,5yr-standard-70,5 Year Fixed Standard,4.62,5.7,490,70%
2026-08-03,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.81,6.3,0,70%
2026-08-03,2yr-standard-70,2 Year Fixed Standard,4.57,6.3,490,70%
2026-08-03,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-03,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-03,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.74,5.8,0,70%
2026-08-03,5yr-standard-70,5 Year Fixed Standard,4.62,5.7,490,70%
2026-08-04,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.81,6.3,0,70%
2026-08-04,2yr-standard-70,2 Year Fixed Standard,4.57,6.3,490,70%
2026-08-04,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-04,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-04,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.74,5.8,0,70%
2026-08-04,5yr-standard-70,5 Year Fixed Standard,4.62,5.7,490,70%
2026-08-05,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.81,6.3,0,70%
2026-08-05,2yr-standard-70,2 Year Fixed Standard,4.57,6.3,490,70%
2026-08-05,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-05,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-05,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.74,5.8,0,70%
2026-08-05,5yr-standard-70,5 Year Fixed Standard,4.62,5.7,490,70%
2026-08-06,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-06,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-06,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-06,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-06,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-06,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-07,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-07,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-07,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-07,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-07,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-07,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-08,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-08,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-08,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-08,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-08,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-08,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-09,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-09,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-09,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-09,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-09,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-09,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-10,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-10,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-10,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-10,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-10,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-10,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-11,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-11,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-11,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-11,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-11,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-11,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-12,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-12,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-12,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-12,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-12,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-12,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-13,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-13,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-13,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-13,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-13,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-13,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-14,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-14,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-14,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-14,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-14,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-14,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-15,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-15,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-15,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-15,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-15,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-15,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-16,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-16,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-16,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-16,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-16,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-16,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-17,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-17,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-17,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-17,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-17,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-17,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-18,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-18,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-18,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-18,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-18,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-18,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-20,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-20,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-20,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-20,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-20,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-20,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-21,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-21,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-21,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-21,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-21,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-21,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-22,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-22,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-22,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-22,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-22,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-22,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-23,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-23,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-23,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-23,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-23,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-23,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-24,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-24,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-24,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-24,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-24,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-24,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-25,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-25,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-25,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-25,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-25,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-25,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-26,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-26,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-26,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-26,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-26,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-26,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-27,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-27,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-27,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-27,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-27,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-27,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-28,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-28,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-28,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-28,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-28,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-28,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-29,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-29,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-29,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-29,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-29,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-29,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-30,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-30,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-30,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-30,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-30,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-30,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-08-31,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-08-31,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-08-31,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-08-31,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-08-31,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-08-31,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-09-01,2yr-fee-saver-70,2 Year Fixed Fee Saver,5.11,6.3,0,70%
2026-09-01,2yr-standard-70,2 Year Fixed Standard,4.84,6.3,490,70%
2026-09-01,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-09-01,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-09-01,5yr-fee-saver-70,5 Year Fixed Fee Saver,5.04,5.9,0,70%
2026-09-01,5yr-standard-70,5 Year Fixed Standard,4.94,5.9,490,70%
2026-09-02,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.92,6.3,0,70%
2026-09-02,2yr-standard-70,2 Year Fixed Standard,4.73,6.3,490,70%
2026-09-02,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-09-02,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-09-02,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.88,5.8,0,70%
2026-09-02,5yr-standard-70,5 Year Fixed Standard,4.82,5.8,490,70%
2026-09-03,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.92,6.3,0,70%
2026-09-03,2yr-standard-70,2 Year Fixed Standard,4.73,6.3,490,70%
2026-09-03,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-09-03,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-09-03,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.88,5.8,0,70%
2026-09-03,5yr-standard-70,5 Year Fixed Standard,4.82,5.8,490,70%
2026-09-04,2yr-fee-saver-70,2 Year Fixed Fee Saver,4.92,6.3,0,70%
2026-09-04,2yr-standard-70,2 Year Fixed Standard,4.73,6.3,490,70%
2026-09-04,3yr-fee-saver-70,3 Year Fixed Fee Saver,4.96,6.1,0,70%
2026-09-04,3yr-standard-70,3 Year Fixed Standard,4.76,6.1,490,70%
2026-09-04,5yr-fee-saver-70,5 Year Fixed Fee Saver,4.88,5.8,0,70%
2026-09-04,5yr-standard-70,5 Year Fixed Standard,4.82,5.8,490,70%
